Entity,Code,Year,Oil Consumption - TWh,Gas Consumption - TWh,Coal Consumption - TWh
France,FRA,2017,883.0668334960938,447.656982421875,106.45975494384766
France,FRA,2018,880.4595336914062,428.38385009765625,95.25949096679688
France,FRA,2019,873.4210815429688,436.62042236328125,74.4328842163086
France,FRA,2020,745.1143188476562,405.8283996582031,53.783023834228516
France,FRA,2021,807.9752807617188,430.4139404296875,64.64903259277344
Germany,DEU,1965,1020.5697631835938,30.97567367553711,1869.4765625
Germany,DEU,1966,1141.8321533203125,37.229923248291016,1745.3394775390625
Germany,DEU,1967,1187.421630859375,47.9886474609375,1681.304443359375
Germany,DEU,1968,1331.1226806640625,78.86974334716797,1705.4390869140625
Germany,DEU,1969,1496.9417724609375,112.31637573242188,1755.96044921875
Germany,DEU,1970,1644.0703125,159.73753356933594,1733.9981689453125
Germany,DEU,1971,1712.53173828125,211.0247344970703,1659.3800048828125
Germany,DEU,1972,1807.81640625,273.224365234375,1619.861328125
Germany,DEU,1973,1927.14794921875,352.33056640625,1625.129638671875
Germany,DEU,1974,1748.5242919921875,440.7649230957031,1632.1192626953125
Germany,DEU,1975,1698.330078125,465.14349365234375,1478.568359375
Germany,DEU,1976,1834.9530029296875,492.28857421875,1560.8389892578125
Germany,DEU,1977,1812.365478515625,522.7913208007812,1499.0023193359375
Germany,DEU,1978,1890.278076171875,560.4232177734375,1518.4825439453125
Germany,DEU,1979,1949.9530029296875,619.47802734375,1606.777587890625
Germany,DEU,1980,1764.3438720703125,610.7291259765625,1643.760986328125
Germany,DEU,1981,1601.3843994140625,583.938720703125,1671.3123779296875
Germany,DEU,1982,1513.8575439453125,541.8614501953125,1631.4796142578125
Germany,DEU,1983,1482.4481201171875,563.3434448242188,1690.9671630859375
Germany,DEU,1984,1477.5570068359375,588.3013305664062,1745.2442626953125
Germany,DEU,1985,1522.7412109375,581.4913940429688,1735.9984130859375
Germany,DEU,1986,1604.220703125,579.80078125,1640.3765869140625
Germany,DEU,1987,1562.0078125,628.6170043945312,1633.6312255859375
Germany,DEU,1988,1562.9130859375,618.8513793945312,1614.3951416015625
Germany,DEU,1989,1468.3829345703125,633.3579711914062,1640.0975341796875
Germany,DEU,1990,1537.293212890625,636.8833618164062,1529.6907958984375
Germany,DEU,1991,1607.6146240234375,669.1927490234375,1343.5953369140625
Germany,DEU,1992,1621.6551513671875,661.626953125,1214.4979248046875
Germany,DEU,1993,1646.872802734375,700.1133422851562,1145.774169921875
Germany,DEU,1994,1631.9727783203125,712.92724609375,1111.4515380859375
Germany,DEU,1995,1631.1295166015625,777.3735961914062,1053.9393310546875
Germany,DEU,1996,1658.8780517578125,869.9099731445312,1049.40185546875
Germany,DEU,1997,1648.9271240234375,831.0336303710938,1016.8182373046875
Germany,DEU,1998,1650.7171630859375,838.6502685546875,992.5123291015625
Germany,DEU,1999,1601.1072998046875,836.1908569335938,955.5816650390625
Germany,DEU,2000,1570.434814453125,829.245849609375,992.0958251953125
Germany,DEU,2001,1590.96337890625,874.48193359375,994.93603515625
Germany,DEU,2002,1537.7799072265625,873.1278076171875,997.1488037109375
Germany,DEU,2003,1507.717041015625,883.7197265625,1013.6199340820312
Germany,DEU,2004,1490.4901123046875,888.2105712890625,988.1099853515625
Germany,DEU,2005,1460.0576171875,902.8104858398438,945.3872680664062
Germany,DEU,2006,1457.2371826171875,920.0689697265625,983.311279296875
Germany,DEU,2007,1319.4586181640625,886.3619384765625,1008.2867431640625
Germany,DEU,2008,1399.0693359375,895.0062866210938,931.8082275390625
Germany,DEU,2009,1339.83837890625,844.3012084960938,834.2924194335938
Germany,DEU,2010,1357.644287109375,880.7125244140625,896.1722412109375
Germany,DEU,2011,1313.2708740234375,808.6072387695312,910.7911376953125
Germany,DEU,2012,1305.3892822265625,811.1005859375,936.0741577148438
Germany,DEU,2013,1334.262451171875,849.7433471679688,963.3986206054688
Germany,DEU,2014,1298.3179931640625,738.9502563476562,925.89501953125
Germany,DEU,2015,1296.542236328125,769.5361328125,915.0558471679688
Germany,DEU,2016,1323.3187255859375,848.8474731445312,889.9349975585938
Germany,DEU,2017,1352.04296875,877.3847045898438,835.9297485351562
Germany,DEU,2018,1286.6826171875,858.5072021484375,806.6900024414062
Germany,DEU,2019,1294.7366943359375,892.8302612304688,624.2177734375
Germany,DEU,2020,1172.283935546875,871.125,501.6944580078125
Germany,DEU,2021,1162.248291015625,905.3031005859375,587.6666870117188
Greece,GRC,1965,52.27322769165039,0,24.504409790039062
Greece,GRC,1966,57.07658386230469,0,24.457889556884766
Greece,GRC,1967,67.11283111572266,0,23.376300811767578
Greece,GRC,1968,68.69305419921875,0,26.400100708007812
Greece,GRC,1969,73.09414672851562,0,25.551109313964844
Greece,GRC,1970,79.16741180419922,0,29.4006404876709
Greece,GRC,1971,87.45738983154297,0,43.33338165283203
Greece,GRC,1972,101.31321716308594,0,46.28739929199219
Greece,GRC,1973,117.92021179199219,0,54.44002914428711
Greece,GRC,1974,110.66204833984375,0,57.335899353027344
Greece,GRC,1975,117.24805450439453,0,75.08328247070312
Greece,GRC,1976,124.79239654541016,0,88.72527313232422
Greece,GRC,1977,127.14097595214844,0,94.3658218383789
Greece,GRC,1978,138.4366912841797,0,83.91045379638672
Greece,GRC,1979,146.4254608154297,0,46.066429138183594
Greece,GRC,1980,144.97279357910156,0,46.066429138183594
Greece,GRC,1981,140.84197998046875,0,45.60123062133789
Greece,GRC,1982,141.51080322265625,0.843500018119812,46.29903030395508
Greece,GRC,1983,135.79776000976562,0.8040000200271606,56.77766036987305
Greece,GRC,1984,139.1630401611328,0.8845000267028809,60.62718963623047
Greece,GRC,1985,141.48158264160156,0.831250011920929,70.30335235595703
Greece,GRC,1986,143.58203125,1.1387499570846558,67.09346771240234
Greece,GRC,1987,155.9617156982422,1.2999999523162842,76.59517669677734
Greece,GRC,1988,161.0731658935547,1.559249997138977,85.96896362304688
Greece,GRC,1989,177.45236206054688,1.5724999904632568,92.4236068725586
Greece,GRC,1990,186.7425537109375,1.6065000295639038,93.72660064697266
Greece,GRC,1991,190.55426025390625,1.5870000123977661,90.17141723632812
Greece,GRC,1992,194.52259826660156,1.4665000438690186,94.0882339477539
Greece,GRC,1993,198.5120391845703,1.0815000534057617,94.04727172851562
Greece,GRC,1994,203.04324340820312,0.5532500147819519,94.24909210205078
Greece,GRC,1995,211.8128662109375,0.5102499723434448,93.93197631835938
Greece,GRC,1996,219.8805389404297,0.5732499957084656,91.37747192382812
Greece,GRC,1997,222.0585174560547,1.9887499809265137,98.4109878540039
Greece,GRC,1998,232.4791717529297,8.14516544342041,102.95044708251953
Greece,GRC,1999,227.01150512695312,14.603706359863281,99.02892303466797
Greece,GRC,2000,236.2486572265625,19.60187530517578,104.94780731201172
Greece,GRC,2001,239.57070922851562,19.344768524169922,108.47605895996094
Greece,GRC,2002,240.72467041015625,20.805139541625977,104.36563110351562
Greece,GRC,2003,252.75018310546875,23.52019500732422,104.927490234375
